שם תחנה,מספר תחנה,תאריך,טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°)
בית ג'מל מאוישת                                   ,7150,01-01-1930,18.0,8.2
בית ג'מל מאוישת                                   ,7150,02-01-1930,19.8,10.5
בית ג'מל מאוישת                                   ,7150,03-01-1930,18.5,8.9
בית ג'מל מאוישת                                   ,7150,04-01-1930,19.5,-
בית ג'מל מאוישת                                   ,7150,05-01-1930,17.6,-
בית ג'מל מאוישת                                   ,7150,06-01-1930,13.6,-
בית ג'מל מאוישת                                   ,7150,07-01-1930,16.2,8.7
בית ג'מל מאוישת                                   ,7150,08-01-1930,14.5,8.4
בית ג'מל מאוישת                                   ,7150,09-01-1930,17.0,7.6
בית ג'מל מאוישת                                   ,7150,10-01-1930,18.5,-
בית ג'מל מאוישת                                   ,7150,11-01-1930,21.9,9.0
בית ג'מל מאוישת                                   ,7150,12-01-1930,22.5,8.3
בית ג'מל מאוישת                                   ,7150,13-01-1930,19.9,-
בית ג'מל מאוישת                                   ,7150,14-01-1930,14.3,-
בית ג'מל מאוישת                                   ,7150,15-01-1930,11.9,-
בית ג'מל מאוישת                                   ,7150,16-01-1930,14.3,-
בית ג'מל מאוישת                                   ,7150,17-01-1930,14.4,6.4
בית ג'מל מאוישת                                   ,7150,18-01-1930,13.9,6.6
בית ג'מל מאוישת                                   ,7150,19-01-1930,15.9,6.7
בית ג'מל מאוישת                                   ,7150,20-01-1930,14.5,6.4
בית ג'מל מאוישת                                   ,7150,21-01-1930,13.9,-
בית ג'מל מאוישת                                   ,7150,22-01-1930,13.9,6.4
בית ג'מל מאוישת                                   ,7150,23-01-1930,13.9,-
בית ג'מל מאוישת                                   ,7150,24-01-1930,13.4,7.8
בית ג'מל מאוישת                                   ,7150,25-01-1930,17.4,6.5
בית ג'מל מאוישת                                   ,7150,26-01-1930,-,7.2
בית ג'מל מאוישת                                   ,7150,27-01-1930,17.4,-
בית ג'מל מאוישת                                   ,7150,28-01-1930,18.5,-
בית ג'מל מאוישת                                   ,7150,29-01-1930,22.5,-
בית ג'מל מאוישת                                   ,7150,30-01-1930,19.5,-
בית ג'מל מאוישת                                   ,7150,31-01-1930,16.5,-
בית ג'מל מאוישת                                   ,7150,01-02-1930,20.8,9.7
בית ג'מל מאוישת                                   ,7150,02-02-1930,16.5,7.9
בית ג'מל מאוישת                                   ,7150,03-02-1930,21.3,8.5
בית ג'מל מאוישת                                   ,7150,04-02-1930,17.1,-
בית ג'מל מאוישת                                   ,7150,05-02-1930,15.2,8.3
בית ג'מל מאוישת                                   ,7150,06-02-1930,16.9,8.3
בית ג'מל מאוישת                                   ,7150,07-02-1930,22.4,9.1
בית ג'מל מאוישת                                   ,7150,08-02-1930,24.0,-
בית ג'מל מאוישת                                   ,7150,09-02-1930,21.2,-
בית ג'מל מאוישת                                   ,7150,10-02-1930,19.1,9.4
בית ג'מל מאוישת                                   ,7150,11-02-1930,19.8,-
בית ג'מל מאוישת                                   ,7150,12-02-1930,20.1,9.4
בית ג'מל מאוישת                                   ,7150,13-02-1930,19.8,-
בית ג'מל מאוישת                                   ,7150,14-02-1930,12.0,-
בית ג'מל מאוישת                                   ,7150,15-02-1930,11.7,-
בית ג'מל מאוישת                                   ,7150,16-02-1930,13.8,7.3
בית ג'מל מאוישת                                   ,7150,17-02-1930,18.2,7.6
בית ג'מל מאוישת                                   ,7150,18-02-1930,16.9,-
בית ג'מל מאוישת                                   ,7150,19-02-1930,14.6,9.0
בית ג'מל מאוישת                                   ,7150,20-02-1930,15.8,7.8
בית ג'מל מאוישת                                   ,7150,21-02-1930,21.9,9.9
בית ג'מל מאוישת                                   ,7150,22-02-1930,18.2,9.8
בית ג'מל מאוישת                                   ,7150,23-02-1930,15.2,9.2
בית ג'מל מאוישת                                   ,7150,24-02-1930,17.1,7.6
בית ג'מל מאוישת                                   ,7150,25-02-1930,16.9,9.3
בית ג'מל מאוישת                                   ,7150,26-02-1930,17.3,7.9
בית ג'מל מאוישת                                   ,7150,27-02-1930,14.6,8.4
בית ג'מל מאוישת                                   ,7150,28-02-1930,15.2,7.9
בית ג'מל מאוישת                                   ,7150,01-03-1930,18.3,7.6
בית ג'מל מאוישת                                   ,7150,02-03-1930,17.9,-
בית ג'מל מאוישת                                   ,7150,03-03-1930,17.0,7.4
בית ג'מל מאוישת                                   ,7150,04-03-1930,17.0,7.5
בית ג'מל מאוישת                                   ,7150,05-03-1930,-,7.4
בית ג'מל מאוישת                                   ,7150,06-03-1930,20.9,7.5
בית ג'מל מאוישת                                   ,7150,07-03-1930,15.9,7.5
בית ג'מל מאוישת                                   ,7150,08-03-1930,-,8.0
בית ג'מל מאוישת                                   ,7150,09-03-1930,17.9,-
בית ג'מל מאוישת                                   ,7150,10-03-1930,19.8,9.6
בית ג'מל מאוישת                                   ,7150,11-03-1930,-,9.0
בית ג'מל מאוישת                                   ,7150,12-03-1930,26.5,9.5
בית ג'מל מאוישת                                   ,7150,13-03-1930,28.5,-
בית ג'מל מאוישת                                   ,7150,14-03-1930,24.5,13.0
בית ג'מל מאוישת                                   ,7150,15-03-1930,17.9,10.3
בית ג'מל מאוישת                                   ,7150,16-03-1930,19.5,8.7
בית ג'מל מאוישת                                   ,7150,17-03-1930,22.8,8.7
בית ג'מל מאוישת                                   ,7150,18-03-1930,25.7,-
בית ג'מל מאוישת                                   ,7150,19-03-1930,25.2,13.3
בית ג'מל מאוישת                                   ,7150,20-03-1930,29.8,-
בית ג'מל מאוישת                                   ,7150,21-03-1930,31.8,-
בית ג'מל מאוישת                                   ,7150,22-03-1930,24.9,-
בית ג'מל מאוישת                                   ,7150,23-03-1930,23.5,-
בית ג'מל מאוישת                                   ,7150,24-03-1930,23.0,12.0
בית ג'מל מאוישת                                   ,7150,25-03-1930,23.5,10.3
בית ג'מל מאוישת                                   ,7150,26-03-1930,30.4,-
בית ג'מל מאוישת                                   ,7150,27-03-1930,24.0,12.4
בית ג'מל מאוישת                                   ,7150,28-03-1930,24.4,-
בית ג'מל מאוישת                                   ,7150,29-03-1930,24.2,-
בית ג'מל מאוישת                                   ,7150,30-03-1930,19.3,10.7
בית ג'מל מאוישת                                   ,7150,31-03-1930,21.0,8.9
