שם תחנה,תאריך,שעה- LST,טמפרטורה(C°),טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°),טמפרטורה ליד הקרקע(C°),לחות יחסית(%),כמות גשם(מ"מ)
בית דגן                                           ,01-01-2016,00:00,12.1,12.1,12.0,10.9,87,0.8
בית דגן                                           ,01-01-2016,00:10,12.0,12.1,12.0,11.0,88,0.2
בית דגן                                           ,01-01-2016,00:20,12.2,12.3,12.1,11.3,89,0.5
בית דגן                                           ,01-01-2016,00:30,12.3,12.4,12.3,11.3,88,0.5
בית דגן                                           ,01-01-2016,00:40,12.3,12.3,12.2,11.2,88,0.5
בית דגן                                           ,01-01-2016,00:50,12.3,12.3,12.3,11.2,88,0.2
בית דגן                                           ,01-01-2016,01:00,12.2,12.3,12.2,11.3,88,0.0
בית דגן                                           ,01-01-2016,01:10,12.3,12.3,12.2,11.4,89,0.6
בית דגן                                           ,01-01-2016,01:20,12.3,12.4,12.3,11.5,90,0.1
בית דגן                                           ,01-01-2016,01:30,12.4,12.4,12.4,11.7,91,1.5
בית דגן                                           ,01-01-2016,01:40,12.4,12.5,12.4,11.8,92,0.8
בית דגן                                           ,01-01-2016,01:50,12.5,12.5,12.5,11.8,92,0.1
בית דגן                                           ,01-01-2016,02:00,12.5,12.5,12.4,11.7,90,0.5
בית דגן                                           ,01-01-2016,02:10,12.4,12.5,12.3,11.2,86,0.3
בית דגן                                           ,01-01-2016,02:20,12.6,12.6,12.4,11.2,85,0.2
בית דגן                                           ,01-01-2016,02:30,12.7,12.8,12.6,11.0,81,0.0
בית דגן                                           ,01-01-2016,02:40,12.8,12.9,12.8,11.1,80,0.0
בית דגן                                           ,01-01-2016,02:50,12.8,12.9,12.8,11.1,81,0.0
בית דגן                                           ,01-01-2016,03:00,13.0,13.2,12.8,11.1,76,0.0
בית דגן                                           ,01-01-2016,03:10,13.2,13.4,13.1,10.9,74,0.1
בית דגן                                           ,01-01-2016,03:20,13.5,13.6,13.4,11.1,69,0.0
בית דגן                                           ,01-01-2016,03:30,13.6,13.6,13.6,11.3,68,0.0
בית דגן                                           ,01-01-2016,03:40,13.6,13.7,13.5,12.6,69,0.0
בית דגן                                           ,01-01-2016,03:50,13.7,13.8,13.7,13.4,67,0.0
בית דגן                                           ,01-01-2016,04:00,13.7,13.8,13.7,13.2,68,0.0
בית דגן                                           ,01-01-2016,04:10,13.7,13.8,13.6,13.1,63,0.0
בית דגן                                           ,01-01-2016,04:20,13.8,13.9,13.7,13.3,64,0.0
בית דגן                                           ,01-01-2016,04:30,13.6,13.9,13.3,11.8,69,0.0
בית דגן                                           ,01-01-2016,04:40,13.3,13.3,13.2,11.1,71,0.1
בית דגן                                           ,01-01-2016,04:50,13.3,13.4,12.8,10.9,68,0.0
בית דגן                                           ,01-01-2016,05:00,12.5,12.8,12.4,11.0,74,0.0
בית דגן                                           ,01-01-2016,05:10,12.8,12.9,12.6,12.1,70,0.0
בית דגן                                           ,01-01-2016,05:20,12.7,12.8,12.6,11.8,67,0.0
בית דגן                                           ,01-01-2016,05:30,12.7,12.9,12.6,12.1,67,0.0
בית דגן                                           ,01-01-2016,05:40,12.7,12.9,12.3,12.1,71,0.0
בית דגן                                           ,01-01-2016,05:50,11.8,12.3,11.6,9.7,76,0.1
בית דגן                                           ,01-01-2016,06:00,11.5,11.6,11.5,9.7,79,0.0
בית דגן                                           ,01-01-2016,06:10,11.8,12.1,11.6,10.3,80,0.0
בית דגן                                           ,01-01-2016,06:20,12.1,12.4,11.9,10.0,75,0.2
בית דגן                                           ,01-01-2016,06:30,11.9,12.0,11.9,9.6,73,0.0
בית דגן                                           ,01-01-2016,06:40,12.1,12.3,12.0,9.6,69,0.0
בית דגן                                           ,01-01-2016,06:50,12.5,12.6,12.3,9.8,66,0.0
בית דגן                                           ,01-01-2016,07:00,12.4,12.5,12.4,11.0,67,0.0
בית דגן                                           ,01-01-2016,07:10,12.6,12.7,12.5,12.2,64,0.0
בית דגן                                           ,01-01-2016,07:20,12.4,12.6,12.3,11.0,66,0.0
בית דגן                                           ,01-01-2016,07:30,12.5,12.6,12.4,12.2,59,0.0
בית דגן                                           ,01-01-2016,07:40,12.7,12.8,12.5,12.6,56,0.0
בית דגן                                           ,01-01-2016,07:50,12.9,12.9,12.8,12.8,55,0.0
בית דגן                                           ,01-01-2016,08:00,12.7,12.9,12.4,10.5,58,0.0
בית דגן                                           ,01-01-2016,08:10,12.1,12.4,11.3,9.5,63,0.3
בית דגן                                           ,01-01-2016,08:20,11.3,11.7,11.1,8.6,68,0.1
בית דגן                                           ,01-01-2016,08:30,11.9,12.0,11.7,9.9,62,0.0
בית דגן                                           ,01-01-2016,08:40,12.2,12.3,12.0,11.0,59,0.0
בית דגן                                           ,01-01-2016,08:50,12.3,12.4,12.2,11.7,61,0.0
בית דגן                                           ,01-01-2016,09:00,12.4,12.5,12.2,12.6,58,0.0
בית דגן                                           ,01-01-2016,09:10,12.6,12.7,12.5,13.1,54,0.0
בית דגן                                           ,01-01-2016,09:20,12.9,12.9,12.7,14.0,53,0.0
בית דגן                                           ,01-01-2016,09:30,12.5,12.8,12.2,12.8,59,0.0
בית דגן                                           ,01-01-2016,09:40,12.3,12.6,12.1,14.3,61,0.0
