שם תחנה,תאריך,שעה- LST,טמפרטורה(C°),טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°),טמפרטורה ליד הקרקע(C°),לחות יחסית(%),כמות גשם(מ"מ)
בית ג'מל                                          ,01-01-2016,00:00,9.9,10.0,9.9,-,97,0.3
בית ג'מל                                          ,01-01-2016,00:10,10.0,10.0,10.0,-,98,0.4
בית ג'מל                                          ,01-01-2016,00:20,9.9,10.0,9.9,-,98,0.5
בית ג'מל                                          ,01-01-2016,00:30,9.8,9.9,9.8,-,97,0.5
בית ג'מל                                          ,01-01-2016,00:40,9.8,9.8,9.7,-,98,0.6
בית ג'מל                                          ,01-01-2016,00:50,9.6,9.8,9.5,-,98,0.8
בית ג'מל                                          ,01-01-2016,01:00,9.4,9.5,9.4,-,97,1.0
בית ג'מל                                          ,01-01-2016,01:10,9.4,9.4,9.4,-,97,1.0
בית ג'מל                                          ,01-01-2016,01:20,9.4,9.4,9.4,-,98,1.0
בית ג'מל                                          ,01-01-2016,01:30,9.4,9.4,9.4,-,98,1.2
בית ג'מל                                          ,01-01-2016,01:40,9.4,9.4,9.4,-,98,1.2
בית ג'מל                                          ,01-01-2016,01:50,9.4,9.5,9.4,-,98,0.9
בית ג'מל                                          ,01-01-2016,02:00,9.5,9.5,9.5,-,98,0.9
בית ג'מל                                          ,01-01-2016,02:10,9.5,9.5,9.5,-,98,0.9
בית ג'מל                                          ,01-01-2016,02:20,9.4,9.5,9.2,-,98,0.7
בית ג'מל                                          ,01-01-2016,02:30,9.1,9.2,9.0,-,97,0.7
בית ג'מל                                          ,01-01-2016,02:40,9.0,9.0,8.9,-,97,0.6
בית ג'מל                                          ,01-01-2016,02:50,9.0,9.0,9.0,-,98,0.6
בית ג'מל                                          ,01-01-2016,03:00,9.0,9.0,9.0,-,98,0.5
בית ג'מל                                          ,01-01-2016,03:10,9.1,9.1,9.0,-,98,0.6
בית ג'מל                                          ,01-01-2016,03:20,9.2,9.2,9.1,-,98,0.6
בית ג'מל                                          ,01-01-2016,03:30,9.2,9.2,9.2,-,99,0.5
בית ג'מל                                          ,01-01-2016,03:40,9.2,9.3,9.2,-,99,0.5
בית ג'מל                                          ,01-01-2016,03:50,9.3,9.4,9.3,-,99,0.5
בית ג'מל                                          ,01-01-2016,04:00,9.4,9.4,9.4,-,99,0.4
בית ג'מל                                          ,01-01-2016,04:10,9.4,9.5,9.4,-,99,0.5
בית ג'מל                                          ,01-01-2016,04:20,9.5,9.5,9.4,-,98,0.5
בית ג'מל                                          ,01-01-2016,04:30,9.5,9.5,9.4,-,98,0.3
בית ג'מל                                          ,01-01-2016,04:40,9.5,9.5,9.5,-,97,0.3
בית ג'מל                                          ,01-01-2016,04:50,9.5,9.5,9.5,-,96,0.2
בית ג'מל                                          ,01-01-2016,05:00,9.4,9.5,9.4,-,97,0.3
בית ג'מל                                          ,01-01-2016,05:10,9.4,9.4,9.4,-,98,0.1
בית ג'מל                                          ,01-01-2016,05:20,9.4,9.4,9.4,-,97,0.1
בית ג'מל                                          ,01-01-2016,05:30,9.4,9.4,9.3,-,96,0.2
בית ג'מל                                          ,01-01-2016,05:40,9.2,9.3,9.2,-,95,0.0
בית ג'מל                                          ,01-01-2016,05:50,9.2,9.2,9.2,-,95,0.0
בית ג'מל                                          ,01-01-2016,06:00,9.2,9.2,9.1,-,94,0.0
בית ג'מל                                          ,01-01-2016,06:10,9.1,9.1,8.9,-,93,0.1
בית ג'מל                                          ,01-01-2016,06:20,8.7,8.9,8.6,-,92,0.1
בית ג'מל                                          ,01-01-2016,06:30,8.6,8.6,8.5,-,92,0.0
בית ג'מל                                          ,01-01-2016,06:40,8.5,8.5,8.5,-,93,0.0
בית ג'מל                                          ,01-01-2016,06:50,8.6,8.7,8.5,-,93,0.3
בית ג'מל                                          ,01-01-2016,07:00,8.6,8.7,8.5,-,95,0.3
בית ג'מל                                          ,01-01-2016,07:10,8.6,8.6,8.5,-,96,0.3
בית ג'מל                                          ,01-01-2016,07:20,8.5,8.6,8.5,-,94,0.3
בית ג'מל                                          ,01-01-2016,07:30,8.4,8.5,8.2,-,94,0.3
בית ג'מל                                          ,01-01-2016,07:40,8.2,8.2,8.2,-,95,0.4
